"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.responses"	"Answer.total_left"	"Answer.total_top"	"Answer.total_right"	"Answer.total_correct"	"Answer.correct_ordered_trials"	"Answer.position_chosen_trial"	"Answer.odd_one_pos"	"Answer.example_chosen_positions"	"Answer.time_shown"	"Answer.showing_buttons"	"Answer.showing_trial_counter"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3FTF2T8WLRIRA4ZLM4JQ0XILDCVW93"	"A249TNDSY03Z7Y"	"Approved"	"Wed Mar 11 07:00:50 PDT 2015"	"Tue Mar 10 14:17:54 PDT 2015"	"Tue Mar 10 14:20:50 PDT 2015"	"Tue Mar 10 15:39:01 PDT 2015"	""	""	""	""	"[1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1]"	"25"	"23"	"18"	"17"	"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0]"	"[1,2,2,2,1,0,2,0,1,0,1,0,1,0,2,1,1,0,1,2,0,2,1,0,1,0,2,0,1,0,2,1,0,0,1,0,1,2,1,0,1,2,1,0,2,1,2,1,0,2,1,0,1,0,2,0,2,1,0,2,1,0,2,1,0,1]"	"[1,0,1,1,1,2,0,2,1,2,0,2,1,1,0,0,0,2,1,0,1,0,0,1,0,1,2,2,1,0,0,0,1,1,1,0,1,1,1,1,0,2,2,0,1,2,1,0,2,2,0,2,0,0,1,0,0,0,2,1,0,1,0,2,1,2]"	"[0,0,2,2]"	"250"	"0"	"0"	"""to see how fast our eyes are"""	"""that was hard!"""	"""22"""	"""m"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3S96KQ6I9M4BLD883FJHZ9UC03SDTB"	"A3F23C3ABMM0W0"	"Approved"	"Wed Mar 11 07:01:56 PDT 2015"	"Tue Mar 10 14:18:20 PDT 2015"	"Tue Mar 10 14:21:56 PDT 2015"	"Tue Mar 10 15:39:01 PDT 2015"	""	""	""	""	"[1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0]"	"25"	"29"	"12"	"31"	"[0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1]"	"[1,0,0,2,1,1,2,0,1,2,0,0,1,2,1,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0,1,1,0,0,1,2,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,2,2,0,0,2,0,0,2,2,0,1,1,0,2,0]"	"[2,2,2,2,0,0,2,2,0,0,2,1,0,2,1,1,1,0,1,2,1,2,1,2,2,0,0,2,0,1,1,1,2,0,1,2,0,0,0,0,1,0,1,2,0,0,1,1,1,1,2,2,1,0,2,1,0,1,2,1,2,0,0,2,1,0]"	"[0,2,1,1]"	"250"	"0"	"0"	"""Finding the odd picture out of three"""	""""""	"""29"""	"""m"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"320DUZ38G7MKJUMUTB6L3OA0FTHGJJ"	"A2Y5DDEPG81LLJ"	"Approved"	"Wed Mar 11 07:02:05 PDT 2015"	"Tue Mar 10 14:17:52 PDT 2015"	"Tue Mar 10 14:22:05 PDT 2015"	"Tue Mar 10 15:39:01 PDT 2015"	""	""	""	""	"[0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0]"	"17"	"24"	"25"	"31"	"[0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1]"	"[2,2,0,0,2,1,0,2,2,2,1,0,0,0,1,2,2,1,2,1,0,2,1,2,0,0,0,2,1,2,0,1,2,2,1,0,0,1,0,1,2,0,0,0,0,1,0,2,2,1,2,2,1,2,2,1,2,1,0,0,0,1,2,2,0,0]"	"[1,2,0,0,0,2,1,2,2,2,0,1,1,2,1,1,1,2,1,2,0,2,2,2,1,0,0,0,1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,2,0,0,0,1,0,1,2,1,0,0,2,1,1,1,1,1,0,0,0,0,0,0]"	"[0,2,2,1]"	"250"	"0"	"0"	"""judging people peripheral vision?"""	"""Thanks"""	"""33"""	"""f"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3Y4W8Q93LZKQY5CX8AJW0RIXXO8DVR"	"A3UNS38BYD3OQR"	"Approved"	"Wed Mar 11 07:03:17 PDT 2015"	"Tue Mar 10 14:18:36 PDT 2015"	"Tue Mar 10 14:23:17 PDT 2015"	"Tue Mar 10 15:39:01 PDT 2015"	""	""	""	""	"[1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0]"	"17"	"21"	"28"	"23"	"[0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0]"	"[2,0,1,2,0,2,1,0,2,2,1,0,2,0,2,2,0,1,0,2,0,0,2,0,1,2,0,2,0,2,0,1,0,2,0,1,1,2,1,0,2,2,0,2,2,0,1,0,1,2,2,2,1,0,2,1,2,2,0,2,1,2,1,1,2,1]"	"[0,1,2,2,2,1,0,1,1,1,0,1,2,2,0,2,1,0,1,0,0,2,2,1,2,2,2,0,0,1,0,0,0,0,2,1,1,2,0,2,0,0,0,1,0,0,0,0,2,0,0,2,2,1,1,1,2,2,0,2,0,2,2,1,1,2]"	"[1,1,0,0]"	"250"	"0"	"0"	"""I have absolutely no idea."""	""""""	"""36"""	"""m"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3F1567XTNW5MQ73ZAVKK880ZPBF9QD"	"A38Z10YT1VO5T6"	"Approved"	"Wed Mar 11 07:03:30 PDT 2015"	"Tue Mar 10 14:18:23 PDT 2015"	"Tue Mar 10 14:23:30 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1]"	"22"	"18"	"26"	"24"	"[0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0]"	"[2,2,0,2,0,1,0,2,2,0,1,1,2,2,2,1,0,1,1,1,1,2,2,2,0,2,1,0,1,0,1,1,2,2,1,2,2,1,0,1,2,1,2,1,0,1,1,0,2,0,2,0,0,2,1,2,0,2,2,0,1,0,2,0,2,1]"	"[1,2,2,0,0,0,1,2,0,2,2,2,2,2,2,2,1,0,1,2,1,2,0,1,0,2,1,0,0,0,2,0,1,2,1,0,1,0,2,0,1,0,0,1,2,0,0,2,1,0,1,0,1,0,1,2,2,2,1,1,2,2,0,0,2,0]"	"[0,2,2,1]"	"250"	"0"	"0"	"""The survey was about making snap decision and quickness or reflexes."""	"""This... this was a hard survey."""	"""21"""	"""m"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3II4UPYCOJ7YTXGGMBPMU4JPGWTDQX"	"A28ULQUEIUK7JU"	"Approved"	"Wed Mar 11 07:06:14 PDT 2015"	"Tue Mar 10 14:18:15 PDT 2015"	"Tue Mar 10 14:26:14 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0]"	"14"	"18"	"34"	"30"	"[1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0]"	"[1,0,1,2,0,1,2,2,1,2,2,2,2,0,1,1,2,1,2,2,2,2,1,0,2,0,2,2,2,1,2,0,1,0,2,2,2,0,1,2,2,0,2,2,0,0,2,0,0,1,1,0,2,0,2,2,2,0,2,2,2,0,1,2,0,2]"	"[1,0,1,0,0,0,0,2,1,2,2,1,0,1,1,2,0,2,0,0,0,2,0,1,0,0,1,0,2,2,0,0,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,0,1,0,1,2,1,0,2,2,2,1,2,2,1,1,0,1]"	"[2,0,1,1]"	"250"	"0"	"0"	"""Determining if the position of an object in relation to others affected its perception."""	""""""	"""48"""	"""Female"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3IAS3U3I0FGOMHGB648F3WXMX53B2A"	"A1ZLBRAHMT7TN7"	"Approved"	"Wed Mar 11 07:06:16 PDT 2015"	"Tue Mar 10 14:18:17 PDT 2015"	"Tue Mar 10 14:26:16 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1]"	"18"	"18"	"30"	"25"	"[0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0]"	"[0,2,1,1,0,2,2,2,2,2,2,1,0,2,2,2,1,0,2,2,1,2,2,2,2,2,0,1,0,1,1,2,1,2,1,1,2,0,1,0,2,1,0,1,0,2,1,2,0,2,1,0,0,0,0,0,2,2,2,2,1,0,2,0,1,2]"	"[1,1,0,1,1,2,1,0,1,0,2,2,0,2,0,1,2,0,2,2,0,2,0,2,1,2,0,0,2,0,0,1,0,0,1,0,2,2,2,1,0,2,2,1,0,2,2,2,1,2,2,0,0,1,1,1,0,0,2,0,1,1,2,1,1,0]"	"[0,2,2,0]"	"250"	"0"	"0"	"""ODD ONE OUT"""	"""NO"""	"""31"""	"""F"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3S96KQ6I9M4BLD883FJHZ9UC03STDR"	"A2VX8B1CJXRN2"	"Approved"	"Wed Mar 11 07:06:41 PDT 2015"	"Tue Mar 10 14:18:01 PDT 2015"	"Tue Mar 10 14:26:41 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1]"	"26"	"17"	"23"	"33"	"[0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1]"	"[1,2,0,2,2,0,1,2,2,2,2,0,1,2,0,1,1,1,1,1,0,1,0,2,0,1,0,2,1,1,0,2,2,1,2,1,2,1,1,1,1,0,1,1,2,0,0,0,2,1,0,0,2,0,2,1,2,1,2,2,2,2,1,1,0,1]"	"[0,0,0,1,2,0,1,1,0,2,1,2,1,1,1,0,1,2,0,0,2,1,0,2,0,2,2,2,2,1,2,1,2,0,1,0,2,2,1,1,0,0,1,2,2,2,2,2,2,1,2,1,2,0,2,1,0,1,2,2,2,2,2,0,0,1]"	"[1,1,2,1]"	"250"	"0"	"0"	"""It was choosing the one that was a different texture."""	"""This was difficult."""	"""50"""	"""f"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3MTMREQS4VI5FN9QEAXQWST5JUDWAI"	"A2W3QPD493MHEI"	"Approved"	"Wed Mar 11 07:07:39 PDT 2015"	"Tue Mar 10 14:18:09 PDT 2015"	"Tue Mar 10 14:27:39 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0]"	"21"	"23"	"22"	"30"	"[1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0]"	"[0,2,1,0,0,1,0,2,1,0,1,0,2,1,1,2,1,2,2,2,0,1,2,0,0,2,1,0,2,2,2,0,1,0,1,0,2,0,2,1,1,0,1,2,2,0,1,2,2,0,0,1,2,1,1,2,0,0,1,0,1,2,1,0,2,0]"	"[0,1,2,0,1,0,0,2,0,1,0,0,0,1,1,0,1,1,2,2,1,1,2,0,1,0,0,0,1,2,0,0,2,1,0,1,2,2,1,0,1,1,1,1,0,0,1,2,1,0,0,0,2,1,0,2,2,0,0,2,1,2,0,2,0,2]"	"[0,0,0,1]"	"250"	"0"	"0"	"""Vision"""	""""""	"""28"""	"""M"""
"3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3KOA8FMB2M8OIHHIFV44M5TN2C7NQQ"	"Identify the odd one out"	"Fun! A 5-10 minute game about differences in pictures."	"experiment, psychology, game, vision, textures"	"$0.70"	"Tue Mar 10 14:10:40 PDT 2015"	"60"	"0"	"0"	"60"	"Reviewable"	"NotReviewed"	"1 pilot"	"1200"	"60000"	"Tue Mar 17 14:10:40 PDT 2015"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XUY87HIVPE7PSQ7H9C671RSLMWMMR"	"3PDJHANYK5GMVV2YTYUEFKHW8NA6H2"	"A1A7U8TF7JAMGN"	"Approved"	"Wed Mar 11 07:09:34 PDT 2015"	"Tue Mar 10 14:24:54 PDT 2015"	"Tue Mar 10 14:29:34 PDT 2015"	"Tue Mar 10 15:39:02 PDT 2015"	""	""	""	""	"[1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0]"	"31"	"15"	"20"	"31"	"[0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0]"	"[1,0,2,1,0,1,1,2,0,1,1,2,1,0,1,1,0,0,0,0,1,1,0,2,0,1,1,1,0,1,1,0,1,1,2,1,2,2,2,2,1,1,0,2,2,0,2,2,1,1,2,2,1,2,2,0,1,1,1,1,2,1,2,1,2,1]"	"[0,2,2,2,0,2,2,0,0,1,1,0,1,2,1,0,2,1,1,1,0,1,0,2,0,1,1,0,0,1,2,0,2,2,2,0,1,0,0,1,0,1,2,0,0,1,1,2,2,1,2,2,1,0,2,0,0,1,1,1,2,2,1,1,2,0]"	"[0,2,2,1]"	"250"	"0"	"0"	"""not sure"""	"""it was interesting, thank you"""	"""39"""	"""m"""
